Angle,Reflectivity
0.0,0.5985036872541316
7.5,0.650870705
11.191,0.67664226
14.881,0.66617579
18.571,0.66042397
22.262,0.661783305
25.952,0.659477195
29.643,0.65022964
33.333,0.6571069249999999
37.024,0.6470417
40.714,0.6546312499999999
44.405,0.6455912699999999
48.095,0.640594545
51.786,0.64948176
55.476,0.6517950600000001
59.167,0.650561525
62.857,0.664292575
66.548,0.6780950150000001
70.238,0.710109275
73.929,0.74329477
77.619,0.784157775
81.31,0.8426153049999999
85.0,0.9094449395857307
90.0,1.0
