Angle,Reflectivity
0.0,0.6641078506840964
7.5,0.717170625
11.191,0.7432845849999999
14.881,0.7437392750000001
18.571,0.73846481
22.262,0.735069995
25.952,0.734537135
29.643,0.7344550700000001
33.333,0.733992885
37.024,0.7280766049999999
40.714,0.7232965400000001
44.405,0.724623005
48.095,0.72412975
51.786,0.72073774
55.476,0.7217906
59.167,0.7219718949999999
62.857,0.73044793
66.548,0.7390935399999999
70.238,0.7545276599999999
73.929,0.7789582899999999
77.619,0.8155535700000001
81.31,0.8573789100000001
85.0,0.9179395339470656
90.0,1.0
