Angle,Reflectivity
0.0,0.7164066331549719
7.5,0.7606777250000001
11.191,0.7824650049999999
14.881,0.781645515
18.571,0.779223745
22.262,0.777349555
25.952,0.7736685850000001
29.643,0.7726565150000001
33.333,0.76996119
37.024,0.765974215
40.714,0.7626087200000001
44.405,0.7590722149999999
48.095,0.7550030100000001
51.786,0.7518105800000001
55.476,0.7474513700000001
59.167,0.7452203000000001
62.857,0.746400715
66.548,0.7490876000000001
70.238,0.7605000849999999
73.929,0.77886268
77.619,0.80988879
81.31,0.85324922
85.0,0.915563417721519
90.0,1.0
