distance,led,tag,angle,relative_error
2,365,N1,-2,0.010729667695312166
2,365,N1,8,0.0009310247210145374
2,365,N1,18,0.0009268354576690742
2,365,N1,28,0.016546283613348776
2,365,N1,38,0.010484795243272737
2,365,N1,48,0.006550489357683609
2,365,N1,58,0.002363635518807014
2,365,N1,68,0.019745061807583755
2,365,N1,69,0.051548202134340484
2,365,N1,70,0.017641172199126937
2,365,N1,78,nan
2,365,P1,-2,0.005479731044790085
2,365,P1,8,0.005938415931067833
2,365,P1,18,0.009535322477187977
2,365,P1,28,0.0020837543892961792
2,365,P1,38,0.002560145057666611
2,365,P1,48,0.0007177505027411895
2,365,P1,58,0.0122874138725792
2,365,P1,68,0.0020386958288737688
2,365,P1,69,0.0019553787289737033
2,365,P1,70,0.007556061295907508
2,365,P1,78,nan
2,415,N1,-2,0.010939080683948466
2,415,N1,8,0.0003608736818997645
2,415,N1,18,0.0008353839835919017
2,415,N1,28,0.016946871833711238
2,415,N1,38,0.01132666449010708
2,415,N1,48,0.007565915184279324
2,415,N1,58,0.0024297377355262267
2,415,N1,68,0.016677555051615806
2,415,N1,69,0.047842281811469364
2,415,N1,70,0.015605447534028205
2,415,N1,78,nan
2,415,P1,-2,0.005303650359511275
2,415,P1,8,0.0055646635255772415
2,415,P1,18,0.009262391969359378
2,415,P1,28,0.0017625676040427009
2,415,P1,38,0.002353250058014219
2,415,P1,48,0.0007580139647881275
2,415,P1,58,0.012091206298158833
2,415,P1,68,0.0032816019787086145
2,415,P1,69,0.003155495245257095
2,415,P1,70,0.006132093671011285
2,415,P1,78,nan
2,465,N1,-2,0.010138799455376275
2,465,N1,8,0.0003655380187290937
2,465,N1,18,0.0008158122194745208
2,465,N1,28,0.017118245564160164
2,465,N1,38,0.011175346237510755
2,465,N1,48,0.007265065469873476
2,465,N1,58,0.0020190551490704305
2,465,N1,68,0.013713609854836883
2,465,N1,69,0.05074655006750446
2,465,N1,70,0.014655279105186329
2,465,N1,78,nan
2,465,P1,-2,0.005637016647864543
2,465,P1,8,0.00524746728983586
2,465,P1,18,0.009515717608788183
2,465,P1,28,0.0018528663116651961
2,465,P1,38,0.002959331600737341
2,465,P1,48,0.0005001430598446244
2,465,P1,58,0.011639341097239422
2,465,P1,68,0.0006384999055806057
2,465,P1,69,0.003752700408783146
2,465,P1,70,0.005452119070784708
2,465,P1,78,nan
2,480,N1,-2,0.010476003187963797
2,480,N1,8,4.42019325374531e-05
2,480,N1,18,0.001027885311163129
2,480,N1,28,0.017153092767515782
2,480,N1,38,0.011301888461457419
2,480,N1,48,0.0074228113586753755
2,480,N1,58,0.0022774296121822707
2,480,N1,68,0.01700060964206433
2,480,N1,69,0.04508463371369377
2,480,N1,70,0.014052892077948622
2,480,N1,78,nan
2,480,P1,-2,0.005704200656273693
2,480,P1,8,0.004667766990279566
2,480,P1,18,0.009213108818191006
2,480,P1,28,0.0021253081648649075
2,480,P1,38,0.0026290783510663426
2,480,P1,48,0.000859518000636723
2,480,P1,58,0.011773489319245838
2,480,P1,68,0.002278554994051818
2,480,P1,69,0.004038114791112187
2,480,P1,70,0.005024333908289546
2,480,P1,78,nan
