distance,led,tag,angle,relative_error
2,365,N2,-2,0.0002207911356940733
2,365,N2,8,0.010763095206737667
2,365,N2,18,0.008372424227135362
2,365,N2,28,0.021878097448640436
2,365,N2,38,0.028923012731042284
2,365,N2,48,0.05660359490782921
2,365,N2,58,0.1788112503445836
2,365,N2,68,1.1494322588516197
2,365,N2,69,0.6407059092629415
2,365,N2,70,0.33333333333333326
2,365,N2,78,nan
2,365,N1,-2,0.00011040775637393036
2,365,N1,8,0.00535274156980241
2,365,N1,18,0.004168760796622225
2,365,N1,28,0.010820680770145284
2,365,N1,38,0.014255352494676628
2,365,N1,48,0.027522851291313634
2,365,N1,58,0.08206826099154026
2,365,N1,68,0.49721775014492026
2,365,N1,69,0.4356176706050737
2,365,N1,70,0.14285714285714293
2,365,N1,78,nan
2,365,P1,-2,0.010989010989011063
2,365,P1,8,0.00011031032345152482
2,365,P1,18,0.005592210845480018
2,365,P1,28,0.004312585909184414
2,365,P1,38,0.011846147843509805
2,365,P1,48,0.016090340273546163
2,365,P1,58,0.035293978711829405
2,365,P1,68,0.23894985064362534
2,365,P1,69,0.3320944799758038
2,365,P1,70,0.3034357123937272
2,365,P1,78,1.0
2,365,P2,-2,0.021739130434782625
2,365,P2,8,0.0002206449863227271
2,365,P2,18,0.01112222387000832
2,365,P2,28,0.008588134749462264
2,365,P2,38,0.023414919093691915
2,365,P2,48,0.031671082059916866
2,365,P2,58,0.06818155893409948
2,365,P2,68,0.3857296572891833
2,365,P2,69,0.4916904042296384
2,365,P2,70,0.5347608672560487
2,365,P2,78,1.0
2,415,N2,-2,0.00033093578455188594
2,415,N2,8,0.010546835116944089
2,415,N2,18,0.008045760252206668
2,415,N2,28,0.0207646757327408
2,415,N2,38,0.02624749353287474
2,415,N2,48,0.05561044509896295
2,415,N2,58,0.1797055960903172
2,415,N2,68,1.1774063325558504
2,415,N2,69,0.6584396173221408
2,415,N2,70,0.33333333333333326
2,415,N2,78,nan
2,415,N1,-2,0.00016549527643051554
2,415,N1,8,0.0052457545045602625
2,415,N1,18,0.004006761405276012
2,415,N1,28,0.010275652569595423
2,415,N1,38,0.012953745096119006
2,415,N1,48,0.027053007651109642
2,415,N1,58,0.08244489366483738
2,415,N1,68,0.5004853683379304
2,415,N1,69,0.4511346651568732
2,415,N1,70,0.14285714285714282
2,415,N1,78,nan
2,415,P1,-2,0.010989010989010846
2,415,P1,8,0.00016527645664747288
2,415,P1,18,0.005475541266676868
2,415,P1,28,0.0041394476375421286
2,415,P1,38,0.011196024209060067
2,415,P1,48,0.014451336534218864
2,415,P1,58,0.034525061722602265
2,415,P1,68,0.24217097771858473
2,415,P1,69,0.33354898281501544
2,415,P1,70,0.3108840798783508
2,415,P1,78,1.0
2,415,P2,-2,0.02173913043478269
2,415,P2,8,0.0003306075549401672
2,415,P2,18,0.010891445971483098
2,415,P2,28,0.008244766495890756
2,415,P2,38,0.022144122288885387
2,415,P2,48,0.02849094089341068
2,415,P2,58,0.06674572323093682
2,415,P2,68,0.3899156912575184
2,415,P2,69,0.49494407724824846
2,415,P2,70,0.5407379940765603
2,415,P2,78,1.0
2,465,N2,-2,0.0002993623146553285
2,465,N2,8,0.01012292311525008
2,465,N2,18,0.007578277336516041
2,465,N2,28,0.019775920052958484
2,465,N2,38,0.024608653263226164
2,465,N2,48,0.05474865130103847
2,465,N2,58,0.17993407429776456
2,465,N2,68,1.2012165491147906
2,465,N2,69,0.6708320662079968
2,465,N2,70,0.3333333333333333
2,465,N2,78,nan
2,465,N1,-2,0.00014970356513048668
2,465,N1,8,0.005035972178040681
2,465,N1,18,0.0037748352938796097
2,465,N1,28,0.009791145570465114
2,465,N1,38,0.012154770366886733
2,465,N1,48,0.02664493842902498
2,465,N1,58,0.08254106232810167
2,465,N1,68,0.5056426717022442
2,465,N1,69,0.46197805793199725
2,465,N1,70,0.14285714285714285
2,465,N1,78,nan
2,465,P1,-2,0.01098901098901084
2,465,P1,8,0.00014952449033638993
2,465,P1,18,0.005247377348727535
2,465,P1,28,0.0038923800423686164
2,465,P1,38,0.010623256366607723
2,465,P1,48,0.013463983376174585
2,465,P1,58,0.03386320185692421
2,465,P1,68,0.24300261280068505
2,465,P1,69,0.33583178878065173
2,465,P1,70,0.315995206238236
2,465,P1,78,1.0
2,465,P2,-2,0.021739130434782438
2,465,P2,8,0.00029909370250620995
2,465,P2,18,0.010439972223687278
2,465,P2,28,0.00775457632660666
2,465,P2,38,0.02102317812238039
2,465,P2,48,0.026570225675552166
2,465,P2,58,0.06550809003764227
2,465,P2,68,0.3909929235839027
2,465,P2,69,0.4972263994461106
2,465,P2,70,0.54570575966179
2,465,P2,78,1.0
2,480,N2,-2,0.0002763772421843616
2,480,N2,8,0.010044702285011467
2,480,N2,18,0.007535063289255877
2,480,N2,28,0.0195687216846496
2,480,N2,38,0.024150861311140234
2,480,N2,48,0.054525249376381375
2,480,N2,58,0.17984723343670933
2,480,N2,68,1.204769099775527
2,480,N2,69,0.670749189886166
2,480,N2,70,0.3333333333333333
2,480,N2,78,nan
2,480,N1,-2,0.0001382077198263461
2,480,N1,8,0.004997253182276276
2,480,N1,18,0.0037533906266673197
2,480,N1,28,0.00968955474232444
2,480,N1,38,0.011931354412732215
2,480,N1,48,0.02653909918747967
2,480,N1,58,0.08250451255392117
2,480,N1,68,0.5081474402515511
2,480,N1,69,0.46190554115039517
2,480,N1,70,0.14285714285714293
2,480,N1,78,nan
2,480,P1,-2,0.010989010989011037
2,480,P1,8,0.00013805507760645454
2,480,P1,18,0.005205352913574112
2,480,P1,28,0.0038695830816082716
2,480,P1,38,0.010503769542160642
2,480,P1,48,0.013190387961624871
2,480,P1,58,0.0336924339616962
2,480,P1,68,0.24268609890229118
2,480,P1,69,0.3369348557637009
2,480,P1,70,0.3159612766683372
2,480,P1,78,1.0
2,480,P2,-2,0.021739130434782466
2,480,P2,8,0.000276148278885105
2,480,P2,18,0.01035679505383956
2,480,P2,28,0.007709334253817508
2,480,P2,38,0.02078917438758233
2,480,P2,48,0.026037333394292688
2,480,P2,58,0.0651885084087685
2,480,P2,68,0.3905831072169626
2,480,P2,69,0.49785154893649336
2,480,P2,70,0.5464377652508771
2,480,P2,78,1.0
