distance,led,tag,angle,relative_error
2,365,N1,-2,0.007645642022057176
2,365,N1,8,0.01870845063770405
2,365,N1,18,0.009915393214886704
2,365,N1,28,0.011825098751274842
2,365,N1,38,0.000874174912790408
2,365,N1,48,0.014270865837358482
2,365,N1,58,0.014327428281988878
2,365,N1,68,0.024085022551094293
2,365,N1,69,0.08314809610782316
2,365,N1,70,0.062365418845901126
2,365,N1,78,nan
2,365,P1,-2,0.006330756080730426
2,365,P1,8,0.0005413775360951221
2,365,P1,18,0.014000557525179008
2,365,P1,28,0.008909568711513865
2,365,P1,38,0.004266871897694786
2,365,P1,48,0.00011435612189665882
2,365,P1,58,0.0039002463033057516
2,365,P1,68,0.008220078182204863
2,365,P1,69,0.04666762807584493
2,365,P1,70,0.03328759365236674
2,365,P1,78,nan
2,415,N1,-2,0.007951089055175727
2,415,N1,8,0.018559496131030653
2,415,N1,18,0.009345379455528057
2,415,N1,28,0.012868214909741748
2,415,N1,38,0.0014045304543647608
2,415,N1,48,0.014304853470661206
2,415,N1,58,0.014145035605974831
2,415,N1,68,0.02245575200856052
2,415,N1,69,0.07932933700356416
2,415,N1,70,0.0662607148406057
2,415,N1,78,nan
2,415,P1,-2,0.006514617227861767
2,415,P1,8,0.00042178622723416665
2,415,P1,18,0.014147801868602195
2,415,P1,28,0.009338332161879978
2,415,P1,38,0.005308077113739826
2,415,P1,48,0.0007160661374606244
2,415,P1,58,0.003436807911614571
2,415,P1,68,0.004027550789743734
2,415,P1,69,0.04966326336331238
2,415,P1,70,0.03121079434681442
2,415,P1,78,nan
2,465,N1,-2,0.008279528080794659
2,465,N1,8,0.018516277014673406
2,465,N1,18,0.008701666916491302
2,465,N1,28,0.014081250343055985
2,465,N1,38,0.002490436170944845
2,465,N1,48,0.013790990298559696
2,465,N1,58,0.013999997379299592
2,465,N1,68,0.021574600757304746
2,465,N1,69,0.07739023404683974
2,465,N1,70,0.07167928977997662
2,465,N1,78,nan
2,465,P1,-2,0.006216045612352874
2,465,P1,8,0.0004900359343093402
2,465,P1,18,0.013727378700795403
2,465,P1,28,0.01009407009466432
2,465,P1,38,0.006240321026342575
2,465,P1,48,0.0009927043202217747
2,465,P1,58,0.0032137274106067057
2,465,P1,68,0.0004256537726266115
2,465,P1,69,0.048461684839210796
2,465,P1,70,0.037460082156732966
2,465,P1,78,nan
2,480,N1,-2,0.008263023913132078
2,480,N1,8,0.01814975283789385
2,480,N1,18,0.008745172938849992
2,480,N1,28,0.014122404798873464
2,480,N1,38,0.002404563556290132
2,480,N1,48,0.014329554646207294
2,480,N1,58,0.01364514138185405
2,480,N1,68,0.027599833930370993
2,480,N1,69,0.07648394383898613
2,480,N1,70,0.06334020967888401
2,480,N1,78,nan
2,480,P1,-2,0.00660799093995927
2,480,P1,8,0.00020169755781228478
2,480,P1,18,0.01402936576789697
2,480,P1,28,0.010095155223963415
2,480,P1,38,0.006077034537813996
2,480,P1,48,0.0008786608635261083
2,480,P1,58,0.0031270822511243047
2,480,P1,68,0.003544733700260517
2,480,P1,69,0.04791825300461104
2,480,P1,70,0.036722555453668926
2,480,P1,78,nan
