distance,led,tag,angle,relative_error
1,365,N2N1N1,-2,0.0200975852452969
1,365,N2N1N1,3,0.023430016703357016
1,365,N2N1N1,8,0.018840906770380653
1,365,N2N1N1,13,0.011591848722470155
1,365,N2N1N1,18,0.03795589094266502
1,365,N2N1N1,23,0.0357594264430312
1,365,N2N1N1,28,0.0203451366422676
1,365,N2N1N1,33,0.019635122863319823
1,365,N2N1N1,38,0.04083121230679039
1,365,N2N1N1,43,0.03788539080734018
1,365,N2N1N1,48,0.0602024931763329
1,365,N2N1N1,53,0.08747691161442245
1,365,N2N1N1,58,0.16521426008256027
1,365,N2N1N1,63,0.39584219263080656
1,365,N2N1N1,68,0.8975141999617792
1,365,N2N1N1,73,1.0
1,415,N2N1P1,-2,0.02082345294809344
1,415,N2N1P1,3,0.032035894195579964
1,415,N2N1P1,8,0.015500933159588202
1,415,N2N1P1,13,0.01133699600825744
1,415,N2N1P1,18,0.027556840858421836
1,415,N2N1P1,23,0.03298231570381753
1,415,N2N1P1,28,0.018504978824948715
1,415,N2N1P1,33,0.011813478317866756
1,415,N2N1P1,38,0.02646605464921253
1,415,N2N1P1,43,0.035070422281911894
1,415,N2N1P1,48,0.061392482299048166
1,415,N2N1P1,53,0.08885756979584743
1,415,N2N1P1,58,0.16817715721502272
1,415,N2N1P1,63,0.4014524568482574
1,415,N2N1P1,68,0.9180717743451734
1,415,N2N1P1,73,1.0
1,465,N2N1P1,-2,0.020776791273171367
1,465,N2N1P1,3,0.03181637271002887
1,465,N2N1P1,8,0.014831486724775295
1,465,N2N1P1,13,0.01154287629061674
1,465,N2N1P1,18,0.02701885273926481
1,465,N2N1P1,23,0.03273864283401174
1,465,N2N1P1,28,0.018699282481178314
1,465,N2N1P1,33,0.01083577195724975
1,465,N2N1P1,38,0.02538794387331519
1,465,N2N1P1,43,0.03329959288852853
1,465,N2N1P1,48,0.06043398091650106
1,465,N2N1P1,53,0.08788244552548805
1,465,N2N1P1,58,0.1682992868274795
1,465,N2N1P1,63,0.40336584525714897
1,465,N2N1P1,68,0.926371329361613
1,465,N2N1P1,73,1.0
1,480,N2N1P1,-2,0.020858505757120442
1,480,N2N1P1,3,0.031803010968968405
1,480,N2N1P1,8,0.014710223302648075
1,480,N2N1P1,13,0.011574977987427465
1,480,N2N1P1,18,0.026881104013599534
1,480,N2N1P1,23,0.032911171224383855
1,480,N2N1P1,28,0.01858921971827675
1,480,N2N1P1,33,0.010688040952672126
1,480,N2N1P1,38,0.025089348052027744
1,480,N2N1P1,43,0.032795356148518875
1,480,N2N1P1,48,0.060272758050263456
1,480,N2N1P1,53,0.08763575162785699
1,480,N2N1P1,58,0.16853380739545765
1,480,N2N1P1,63,0.4044153821664807
1,480,N2N1P1,68,0.9301393194064378
1,480,N2N1P1,73,1.0
