led,distance,concentrator,angle,weighted_ch0_baseline_mean,weighted_ch0_baseline_sigma,weighted_ch0_dcr,weighted_ch0_dcr_error,weighted_ch0_led,weighted_ch0_led_error,weighted_ch0_trigger_ratio,weighted_ch0_trigger_ratio_error,weighted_ch0_lambda,weighted_ch0_lambda_error,weighted_ch1_baseline_mean,weighted_ch1_baseline_sigma,weighted_ch1_dcr,weighted_ch1_dcr_error,weighted_ch1_led,weighted_ch1_led_error,weighted_ch1_trigger_ratio,weighted_ch1_trigger_ratio_error,weighted_ch1_lambda,weighted_ch1_lambda_error,weighted_test_cali,weighted_test_cali_error,total_ch0_baseline_mean,total_ch0_baseline_sigma,total_ch0_dcr,total_ch0_dcr_error,total_ch0_led,total_ch0_led_error,total_ch0_trigger_ratio,total_ch0_trigger_ratio_error,total_ch0_lambda,total_ch0_lambda_error,total_ch1_baseline_mean,total_ch1_baseline_sigma,total_ch1_dcr,total_ch1_dcr_error,total_ch1_led,total_ch1_led_error,total_ch1_trigger_ratio,total_ch1_trigger_ratio_error,total_ch1_lambda,total_ch1_lambda_error,total_test_cali,total_test_cali_error
465.0,1.0,0.0,45.0,393.50761770728496,0.3796030448211722,4.866807756712462,0.1332227310933319,12710.937450411497,25.68309199672672,0.1947141153555682,0.0003934297180871,0.2165544771630098,0.0004885585019224,488.1200366047701,0.3833642800309055,5.277448863218979,0.1391232129054953,14232.077326704,27.16023255523898,0.2180158904213234,0.0004160574839956,0.2459121262496633,0.0005320520812457,1.1355670382402427,0.05957853795780071,393.50761770728496,0.3796030448211722,4.974241240510176,0.1346851327521036,254227.1250231344,513.6754977171018,0.1947205308081605,0.0003934401790112,0.2165658951140507,0.000488575946691,488.1200366047701,0.3833642800309055,5.376617408257262,0.1404242615423836,284656.5053939226,543.2241209526519,0.2180273478813745,0.0004160723965629,0.2459355107636634,0.0005320804959556,1.1356151467623543,0.0035496502087922
465.0,1.0,0.0,50.0,394.5875594945562,0.3753028055914107,3.4204206945342697,0.1110329433793321,12410.618913375536,25.23669580218468,0.1901136475700908,0.0003865915410873,0.2108583093448831,0.0004773399977215,488.5054758554605,0.3764802340029436,4.412752934792373,0.1264226347066358,14312.598885792606,27.141973515239624,0.219249370186774,0.0004157777805643,0.2474966067278444,0.0005325354434765,1.1737579016771642,0.06054675010071226,394.5875594945562,0.3753028055914107,3.4817798409950536,0.1120244301086104,248218.42843580293,504.7417391031968,0.1901182815837951,0.000386597533014,0.2108670686252421,0.0004773506108646,488.5054758554605,0.3764802340029436,4.476705572167386,0.1273354410477462,286257.69546668103,542.8502516328424,0.2192537495915142,0.0004157860383217,0.2475050853812522,0.0005325495167017,1.1737493530633936,0.0036658314408252
465.0,1.0,0.0,55.0,393.0753092932485,0.371586918788514,3.1970538939726465,0.107312461990659,12087.90057721134,24.8946944013533,0.1851700456067913,0.0003813525490403,0.2047701777325514,0.0004680140050555,489.0532556891296,0.3846230307480502,4.483945769799058,0.1275091241649392,14612.774756313209,27.422742982261056,0.2238476525170529,0.0004200787834292,0.2534010033895405,0.0005412313985252,1.2374897858442329,0.062218408481575616,393.0753092932485,0.371586918788514,3.274268146955112,0.1086006192313427,241776.03734277852,497.91524700095823,0.1851838521314174,0.0003813689085485,0.2047927766268183,0.0004680428947635,489.0532556891296,0.3846230307480502,4.539693192150319,0.1282993151978465,292265.8039851553,548.4719121296702,0.2238555483954927,0.000420091844462,0.2534166271476084,0.0005412547156571,1.2374295193496712,0.0038708078261757
465.0,1.0,0.0,60.0,393.8761185175502,0.3582527342694055,3.2749824619977086,0.1085495207546018,10889.902974075025,23.672638446221395,0.1668183666371786,0.0003626323291394,0.1825017092923841,0.0004352377494209,488.5203640373481,0.3808876773987582,4.317050170025164,0.1250067000686312,14045.761206330548,26.88415890904052,0.2151617831852105,0.0004118284146605,0.2422727618873254,0.0005247294681251,1.3275095495088365,0.06539608631075333,393.8761185175502,0.3582527342694055,3.3999979145471744,0.1106019404277149,217805.2789783173,473.4639270053046,0.1668238962762847,0.0003626408754636,0.1825102501269635,0.0004352511718025,488.5203640373481,0.3808876773987582,4.365427637529847,0.1257051700074088,280928.5767001213,537.694053791479,0.2151720103401664,0.0004118367446319,0.2422907066627829,0.000524747779205,1.3275457487688118,0.004276651603819
465.0,1.0,0.0,65.0,393.56844053069057,0.3458495956020498,3.620606546461421,0.1142697673997399,10308.124015724905,23.082657461105452,0.1579063115153937,0.0003535946302252,0.1718571012174346,0.0004198984289169,488.1736829698214,0.3778918472317806,4.38131722936416,0.1261363241596095,14296.240414432788,27.12645539945065,0.2189987808583454,0.0004155400643298,0.2471735541128376,0.0005320598220118,1.4382504555346374,0.06843487694882631,393.56844053069057,0.3458495956020498,3.6966234975770087,0.1154631195804835,206189.5689417316,461.6826878606688,0.1579270595448312,0.0003536172547952,0.1718886408728005,0.0004199366085841,488.1736829698214,0.3778918472317806,4.45574373102134,0.127203166772485,285936.5965148685,542.5347933706946,0.2190078098306284,0.000415544418942,0.2471901289755843,0.0005320724383324,1.4380829804716866,0.0046824542662591
465.0,1.0,0.0,70.0,393.6093538207137,0.3330502626892176,3.477202612705401,0.1120000395150513,9333.256828005482,21.98598356761605,0.1429726842525349,0.0003367950914156,0.1542818717599991,0.0003929801061258,489.1070789620754,0.3792149030061544,4.270487831092519,0.1244751265686779,13977.158104265414,26.820325348261065,0.214110877822693,0.000410850572124,0.2409335183909245,0.0005227833455476,1.5616450308933292,0.07228667999910494,393.6093538207137,0.3330502626892176,3.5425651203178767,0.1130477956688828,186676.8855460814,439.7434209520196,0.1429816831694863,0.0003368132819791,0.1542959874149619,0.0003930059315707,489.1070789620754,0.3792149030061544,4.3465480247320585,0.1255787261848205,279558.3079963575,536.4196902005303,0.2141224785511316,0.0004108606695776,0.2409543238235934,0.0005228049643411,1.5616370059940288,0.0052251603401827
465.0,1.0,0.0,75.0,394.0894129822108,0.3249072432347545,3.1679477658146893,0.1068569729937721,8497.94069981911,20.978536365594067,0.1301767876810525,0.0003213623830513,0.1394630075276909,0.0003694568433714,488.53795652237807,0.3725430684755219,4.140618687798835,0.1226974370716983,13816.786252106296,26.662036980161783,0.2116542011658438,0.0004084258115833,0.2378087204815811,0.0005180778363333,1.705174187028508,0.07647565654258158,394.0894129822108,0.3249072432347545,3.2186902293474526,0.1077093617033385,169968.52647869338,419.57797583590377,0.13018422677596,0.0003213679349233,0.1394738446716417,0.000369466667329,488.53795652237807,0.3725430684755219,4.221219777316197,0.1238858926245897,276359.89899539755,533.2650229843802,0.2116727167550532,0.0004084444109868,0.2378419412843857,0.0005181152798689,1.7052798812876244,0.0058485511500888
465.0,1.0,0.0,80.0,393.7552012069966,0.3103238894317765,3.4109263615136087,0.1110404751771343,7591.069370095184,19.898338603486508,0.1162849397726159,0.0003048157001907,0.123618287352308,0.0003449250544815,488.5351237518675,0.3677497134073929,4.49912255615136,0.1279449435488172,12832.108889938278,25.75498029543244,0.1965705969678833,0.0003945315512931,0.2188600096284137,0.000491058414035,1.770450103427415,0.07961799427627965,393.7552012069966,0.3103238894317765,3.4521817397669605,0.1117099777325449,151832.51137509762,397.9915349715433,0.116293461980715,0.0003048346696085,0.1236302420253396,0.0003449501123888,488.5351237518675,0.3677497134073929,4.573552955622549,0.1289989196512449,256658.93462869225,515.1114333294166,0.1965834312159579,0.0003945406115277,0.2188819339387168,0.0004910785100248,1.7704562439815823,0.0063388069077947
465.0,1.0,0.0,85.0,393.3613052562752,0.3032946848771586,2.8681659062941205,0.1017913734228062,6983.819975679056,19.05507906805207,0.1069825363921423,0.0002918976572924,0.1131468485607995,0.0003268664343261,488.9422830227386,0.3547619466773745,4.452061183795578,0.1275643342447926,11777.55543914515,24.710077315480596,0.1804159840555322,0.0003785244686807,0.1989544258265871,0.0004618488944024,1.758373550454469,0.08072494688641114,393.3613052562752,0.3032946848771586,2.9298037693484607,0.1028793250376755,139693.24733675097,381.1238652209768,0.1069954406684673,0.0002919147251998,0.1131635924842566,0.00032689052049,488.9422830227386,0.3547619466773745,4.524994484580667,0.1286049639053755,235560.40553642547,494.2100006804572,0.180423104730718,0.0003785309441486,0.1989670532669632,0.0004618614145098,1.7582249635159264,0.006515579314846
465.0,1.0,0.0,90.0,394.2113464387476,0.2944830837632358,3.52237363039902,0.1129388655244237,6592.479571430635,18.62345202305949,0.1009877385329447,0.0002852857233924,0.1064554867040733,0.0003173320754999,488.8832734330709,0.3417172731553236,4.4296973150040895,0.127407519447217,10658.957447536175,23.55083609797397,0.1632805981546595,0.0003607664843439,0.1782614987326941,0.0004311671048975,1.6745167792828588,0.08017509551578907,394.2113464387476,0.2944830837632358,3.5922213753749213,0.1140531427213534,131866.55046657517,372.4892749642374,0.1010007279921684,0.0002853012216331,0.1064730542907873,0.0003173542298826,488.8832734330709,0.3417172731553236,4.503684428007528,0.1284671266346959,213194.61648491275,471.0324241073567,0.163292445224351,0.0003607785111116,0.1782806664687493,0.0004311883035505,1.6744205156531804,0.006427158548917
