Angle,Reflectivity
0.0,0.704437184042265
7.5,0.7666043
11.191,0.79719881
14.881,0.7954185699999999
18.571,0.79350641
22.262,0.7902993100000001
25.952,0.78929119
29.643,0.78625111
33.333,0.78486661
37.024,0.7817514900000001
40.714,0.77967716
44.405,0.7746111500000001
48.095,0.7725925
51.786,0.7680517299999999
55.476,0.7638982300000001
59.167,0.76194614
62.857,0.76017437
66.548,0.7628054000000001
70.238,0.77152266
73.929,0.78918712
77.619,0.8149951799999999
81.31,0.8566209000000001
85.0,0.76714769
90.0,0.6459102780758806
