angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6437,80.230917,1570,39.623226,4.100000,0.028148
05,00,1,1,Average,5,6203,78.759126,1754,41.880783,3.536488,0.027043
10,00,1,1,Average,5,6235,78.962016,2010,44.833024,3.101990,0.025650
15,00,1,1,Average,5,6260,79.120162,2179,46.679760,2.872877,0.024873
20,00,1,1,Average,5,6146,78.396428,2466,49.658836,2.492295,0.023837
25,00,1,1,Average,5,5845,76.452600,2604,51.029403,2.244624,0.023561
30,00,1,1,Average,5,5749,75.822160,2801,52.924474,2.052481,0.023043
35,00,1,1,Average,5,5384,73.375745,2993,54.708317,1.798864,0.022800
40,00,1,1,Average,5,4973,70.519501,2993,54.708317,1.661544,0.023134
45,00,1,1,Average,5,4602,67.838042,3127,55.919585,1.471698,0.023175
50,00,1,1,Average,5,3947,62.825154,3080,55.497748,1.281494,0.024042
55,00,1,1,Average,5,3087,55.560778,2949,54.304696,1.046796,0.025750
60,00,1,1,Average,5,2045,45.221676,2766,52.592775,0.739335,0.029164
65,00,1,1,Average,5,870,29.495762,2538,50.378567,0.342790,0.039287
70,00,1,1,Average,5,171,13.076697,2375,48.733972,0.072000,0.079177
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
