angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6288,79.296910,1570,39.623226,4.005096,0.028213
05,00,1,1,Average,5,6059,77.839579,1754,41.880783,3.454390,0.027114
10,00,1,1,Average,5,6080,77.974355,2010,44.833024,3.024876,0.025729
15,00,1,1,Average,5,6091,78.044859,2179,46.679760,2.795319,0.024962
20,00,1,1,Average,5,5979,77.323994,2466,49.658836,2.424574,0.023933
25,00,1,1,Average,5,5672,75.312682,2604,51.029403,2.178187,0.023671
30,00,1,1,Average,5,5576,74.672619,2801,52.924474,1.990718,0.023159
35,00,1,1,Average,5,5212,72.194183,2993,54.708317,1.741397,0.022934
40,00,1,1,Average,5,4797,69.260378,2993,54.708317,1.602740,0.023293
45,00,1,1,Average,5,4425,66.520673,3127,55.919585,1.415094,0.023362
50,00,1,1,Average,5,3790,61.562976,3080,55.497748,1.230519,0.024260
55,00,1,1,Average,5,2955,54.359912,2949,54.304696,1.002035,0.026029
60,00,1,1,Average,5,1961,44.283180,2766,52.592775,0.708966,0.029521
65,00,1,1,Average,5,838,28.948230,2538,50.378567,0.330181,0.039841
70,00,1,1,Average,5,168,12.961481,2375,48.733972,0.070737,0.079834
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
