angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,5998,77.446756,1570,39.623226,3.820382,0.028349
05,00,1,1,Average,5,5782,76.039463,1754,41.880783,3.296465,0.027259
10,00,1,1,Average,5,5792,76.105190,2010,44.833024,2.881592,0.025888
15,00,1,1,Average,5,5790,76.092050,2179,46.679760,2.657182,0.025132
20,00,1,1,Average,5,5693,75.451971,2466,49.658836,2.308597,0.024107
25,00,1,1,Average,5,5385,73.382559,2604,51.029403,2.067972,0.023869
30,00,1,1,Average,5,5299,72.794231,2800,52.915026,1.892500,0.023364
35,00,1,1,Average,5,4941,70.292247,2992,54.699177,1.651404,0.023165
40,00,1,1,Average,5,4528,67.290415,2993,54.708317,1.512863,0.023558
45,00,1,1,Average,5,4158,64.482556,3127,55.919585,1.329709,0.023671
50,00,1,1,Average,5,3555,59.623821,3080,55.497748,1.154221,0.024616
55,00,1,1,Average,5,2762,52.554733,2949,54.304696,0.936589,0.026479
60,00,1,1,Average,5,1840,42.895221,2766,52.592775,0.665221,0.030083
65,00,1,1,Average,5,792,28.142495,2538,50.378567,0.312057,0.040702
70,00,1,1,Average,5,164,12.806248,2375,48.733972,0.069053,0.080738
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
