angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,3886,62.337790,814,28.530685,4.773956,0.038547
05,00,1,1,Average,5,3732,61.090097,950,30.822070,3.928421,0.036340
10,00,1,1,Average,5,3609,60.074953,1004,31.685959,3.594622,0.035681
15,00,1,1,Average,5,3726,61.040970,1078,32.832910,3.456401,0.034584
20,00,1,1,Average,5,3522,59.346440,1218,34.899857,2.891626,0.033241
25,00,1,1,Average,5,3477,58.966092,1317,36.290495,2.640091,0.032356
30,00,1,1,Average,5,3325,57.662813,1396,37.363083,2.381805,0.031892
35,00,1,1,Average,5,3158,56.196085,1366,36.959437,2.311859,0.032384
40,00,1,1,Average,5,2955,54.359912,1513,38.897301,1.953073,0.031612
45,00,1,1,Average,5,2703,51.990384,1547,39.331921,1.747253,0.031881
50,00,1,1,Average,5,2413,49.122296,1541,39.255573,1.565866,0.032609
55,00,1,1,Average,5,1834,42.825226,1460,38.209946,1.256164,0.035074
60,00,1,1,Average,5,1206,34.727511,1422,37.709415,0.848101,0.039146
65,00,1,1,Average,5,522,22.847319,1322,36.359318,0.394856,0.051693
70,00,1,1,Average,5,93,9.643651,1219,34.914181,0.076292,0.107578
75,00,1,1,Average,5,13,3.605551,1110,33.316662,0.011712,0.278969
80,00,1,1,Average,5,2,1.414214,987,31.416556,0.002026,0.707823
85,00,1,1,Average,5,0,0.000000,871,29.512709,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,836,28.913665,0.000000,-nan
