angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,0,Average,5,1575,39.686270,822,28.670542,1.916058,0.043029
05,00,1,0,Average,5,1532,39.140772,886,29.765752,1.729120,0.042207
10,00,1,0,Average,5,1621,40.261644,984,31.368774,1.647358,0.040412
15,00,1,0,Average,5,1599,39.987498,1028,32.062439,1.555447,0.039977
20,00,1,0,Average,5,1530,39.115214,1190,34.496377,1.285714,0.038651
25,00,1,0,Average,5,1616,40.199502,1312,36.221541,1.231707,0.037162
30,00,1,0,Average,5,1554,39.420807,1460,38.209946,1.064384,0.036448
35,00,1,0,Average,5,1568,39.597980,1552,39.395431,1.010309,0.035806
40,00,1,0,Average,5,1589,39.862263,1503,38.768544,1.057219,0.035981
45,00,1,0,Average,5,1515,38.923001,1542,39.268308,0.982490,0.036174
50,00,1,0,Average,5,1524,39.038443,1591,39.887341,0.957888,0.035843
55,00,1,0,Average,5,1543,39.281039,1467,38.301436,1.051806,0.036466
60,00,1,0,Average,5,1476,38.418745,1466,38.288379,1.006821,0.036873
65,00,1,0,Average,5,1456,38.157568,1267,35.594943,1.149171,0.038420
70,00,1,0,Average,5,1330,36.469165,1224,34.985711,1.086601,0.039609
75,00,1,0,Average,5,1489,38.587563,1084,32.924155,1.373616,0.039926
80,00,1,0,Average,5,1311,36.207734,965,31.064449,1.358549,0.042415
85,00,1,0,Average,5,1278,35.749126,924,30.397368,1.383117,0.043182
90,00,1,0,Average,5,1216,34.871192,772,27.784888,1.575130,0.046019
