angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6290,79.309520,1570,39.623226,4.006369,0.028212
05,00,1,1,Average,5,6060,77.846002,1754,41.880783,3.454960,0.027114
10,00,1,1,Average,5,6080,77.974355,2010,44.833024,3.024876,0.025729
15,00,1,1,Average,5,6088,78.025637,2179,46.679760,2.793942,0.024964
20,00,1,1,Average,5,5975,77.298124,2466,49.658836,2.422952,0.023935
25,00,1,1,Average,5,5668,75.286121,2604,51.029403,2.176651,0.023674
30,00,1,1,Average,5,5573,74.652528,2801,52.924474,1.989647,0.023161
35,00,1,1,Average,5,5209,72.173402,2993,54.708317,1.740394,0.022937
40,00,1,1,Average,5,4792,69.224273,2993,54.708317,1.601069,0.023298
45,00,1,1,Average,5,4416,66.452991,3127,55.919585,1.412216,0.023372
50,00,1,1,Average,5,3780,61.481705,3081,55.506756,1.226874,0.024272
55,00,1,1,Average,5,2945,54.267854,2950,54.313902,0.998305,0.026049
60,00,1,1,Average,5,1954,44.204072,2767,52.602281,0.706180,0.029550
65,00,1,1,Average,5,835,28.896367,2538,50.378567,0.328999,0.039895
70,00,1,1,Average,5,168,12.961481,2375,48.733972,0.070737,0.079834
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
