angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6000,77.459667,1570,39.623226,3.821656,0.028348
05,00,1,1,Average,5,5784,76.052613,1754,41.880783,3.297605,0.027258
10,00,1,1,Average,5,5793,76.111760,2010,44.833024,2.882090,0.025887
15,00,1,1,Average,5,5788,76.078906,2179,46.679760,2.656264,0.025134
20,00,1,1,Average,5,5690,75.432089,2466,49.658836,2.307380,0.024109
25,00,1,1,Average,5,5381,73.355300,2604,51.029403,2.066436,0.023872
30,00,1,1,Average,5,5296,72.773622,2800,52.915026,1.891429,0.023366
35,00,1,1,Average,5,4939,70.278019,2992,54.699177,1.650735,0.023167
40,00,1,1,Average,5,4524,67.260687,2993,54.708317,1.511527,0.023562
45,00,1,1,Average,5,4150,64.420494,3127,55.919585,1.327151,0.023680
50,00,1,1,Average,5,3546,59.548300,3081,55.506756,1.150925,0.024629
55,00,1,1,Average,5,2753,52.469038,2950,54.313902,0.933220,0.026499
60,00,1,1,Average,5,1834,42.825226,2767,52.602281,0.662812,0.030111
65,00,1,1,Average,5,789,28.089144,2538,50.378567,0.310875,0.040761
70,00,1,1,Average,5,163,12.767145,2375,48.733972,0.068632,0.080969
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
