angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6443,80.268300,1570,39.623226,4.103822,0.028145
05,00,1,1,Average,5,6208,78.790862,1754,41.880783,3.539339,0.027041
10,00,1,1,Average,5,6239,78.987341,2010,44.833024,3.103980,0.025648
15,00,1,1,Average,5,6263,79.139118,2179,46.679760,2.874254,0.024872
20,00,1,1,Average,5,6148,78.409183,2466,49.658836,2.493106,0.023836
25,00,1,1,Average,5,5847,76.465679,2604,51.029403,2.245392,0.023560
30,00,1,1,Average,5,5754,75.855125,2801,52.924474,2.054266,0.023039
35,00,1,1,Average,5,5390,73.416619,2993,54.708317,1.800869,0.022796
40,00,1,1,Average,5,4978,70.554943,2993,54.708317,1.663214,0.023130
45,00,1,1,Average,5,4606,67.867518,3127,55.919585,1.472977,0.023171
50,00,1,1,Average,5,3950,62.849025,3081,55.506756,1.282051,0.024036
55,00,1,1,Average,5,3090,55.587768,2950,54.313902,1.047458,0.025741
60,00,1,1,Average,5,2048,45.254834,2767,52.602281,0.740152,0.029149
65,00,1,1,Average,5,872,29.529646,2538,50.378567,0.343578,0.039253
70,00,1,1,Average,5,172,13.114877,2375,48.733972,0.072421,0.078962
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
